goal,dimension,region_name,estimate,estimate_cat,a3_code
AO,future,Turks and Caicos Islands,0.18971428571431226, ,TCA
AO,future,Tuvalu,0.08142857142860559, ,TUV
AO,future,Ukraine,-0.38885714285727735,  ,UKR
AO,future,United Arab Emirates,0,,ARE
AO,future,United Kingdom,0,,GBR
AO,future,United States,0,,USA
AO,future,Uruguay,0.15685714285714772, ,URY
AO,future,Vanuatu,-0.09000000000001956,  ,VUT
AO,future,Venezuela,0.0397142857142151, ,VEN
AO,future,Vietnam,0.36742857142864105, ,NA
AO,future,Wake Island,0,,NA
AO,future,Wallis and Futuna,0.03314285714287085, ,WLF
AO,future,Western Sahara,0.636000000000052, ,ESH
AO,future,Yemen,-0.5828571428572812,  ,YEM
AO,pressures,Albania,-0.27742857142865657,  ,ALB
AO,pressures,Algeria,-0.00400000000001435,  ,DZA
AO,pressures,American Samoa,-0.1911428571429097,  ,ASM
AO,pressures,Amsterdam Island and Saint Paul Island,-0.04028571428572719,  ,NA
AO,pressures,Andaman and Nicobar,0.021714285714265515, ,NA
AO,pressures,Angola,0.400571428571491, ,AGO
AO,pressures,Anguilla,0.5937142857144415, ,AIA
AO,pressures,Antigua and Barbuda,0.3988571428572449, ,ATG
AO,pressures,Argentina,0.009999999999998874, ,ARG
AO,pressures,Aruba,0.059142857142880784, ,ABW
AO,pressures,Ascension,0.1740000000000451, ,NA
AO,pressures,Australia,0.02600000000001304, ,AUS
AO,pressures,Azores,0.08514285714286153, ,NA
AO,pressures,Bahamas,0.16342857142860265, ,BHS
AO,pressures,Bahrain,0.12314285714283972, ,BHR
AO,pressures,Bangladesh,8.571428571211428e-4, ,BGD
AO,pressures,Barbados,-0.01542857142855313,  ,BRB
AO,pressures,Bassas da India,0.06828571428572162, ,NA
AO,pressures,Belgium,-0.08571428571428612,  ,BEL
AO,pressures,Belize,0.1700000000000357, ,BLZ
AO,pressures,Benin,0.09000000000001651, ,BEN
AO,pressures,Bermuda,0.14571428571432873, ,BMU
AO,pressures,Bonaire,-0.013428571428568743,  ,BES
AO,pressures,Bosnia and Herzegovina,-0.24914285714290713,  ,BIH
AO,pressures,Bouvet Island,-0.08514285714285554,  ,BVT
AO,pressures,Brazil,0.23114285714290023, ,BRA
AO,pressures,British Indian Ocean Territory,0.07542857142860744, ,IOT
AO,pressures,British Virgin Islands,0.14200000000003643, ,VGB
AO,pressures,Brunei,0.130571428571455, ,BRN
AO,pressures,Bulgaria,0.07942857142857203, ,BGR
AO,pressures,Cambodia,0.045142857142874464, ,KHM
AO,pressures,Cameroon,0.3631428571429368, ,CMR
AO,pressures,Canada,-0.08742857142858791,  ,CAN
AO,pressures,Canary Islands,0.3417142857143646, ,NA
AO,pressures,Cape Verde,0.02800000000001168, ,NA
AO,pressures,Cayman Islands,0.18371428571433732, ,CYM
AO,pressures,Chile,-0.27171428571433875,  ,CHL
